,M_CE1939,M_CE1940,M_CE1941,M_CE1944,M_urea,M_ametam,M_pyr,M_CE1556,M_ac,M_spmd,M_N1aspmd,M_sprm,M_CE1059,M_nadh,M_crtn,M_ptrc,M_1pyr5c,M_glu_L,M_HC00591,M_gly,M_glu5sa,M_5oxpro,M_ahcys,M_amet,M_n8aspmd,M_pcreat,M_coa,M_creat,M_5mta,M_13dampp,M_4abutn,M_CE4788,M_gln_L,M_gthrd,M_C03413,M_orn,M_asn_L,M_gudac,M_N1sprm,M_ala_L,M_adp,M_lys_L,M_acorn,M_2obut,M_nad,M_arg_L,M_akg,M_accoa,M_CE2072,M_CE5588,M_CE5586,M_atp
M_CE1939,0.0,4.176691820108156,3.0647702686575684,3.050596713220597,0.25114401247485774,2.397807478431687,0.5807331027819609,0.6026126869082975,0.6029497210056287,5.815162187923309,2.233815355010977,3.375460282767456,1.5140956686570304,0.09721287630023909,0.10623259330730654,2.776291417638411,0.13230836491189538,0.07173441316218986,0.030666184863613825,0.13767135171438316,0.24071785092274622,0.06681340945142318,0.5349586977919369,0.5810018070604698,3.5980104733265033,0.14785264050012292,1.0900602969746556,0.23078062660367268,2.1838180820763577,4.603306707670363,3.50482189219815,1.8938963709682515,0.04250154433103433,0.08917103837426893,1.6712084180758862,0.6889691603839376,0.50839555735909,0.17316553402101434,2.569615874831431,0.2777573134008888,0.19192773979819572,3.0647702686575684,0.5501407902943317,0.029932423801061286,0.13551327618671688,0.29133683485602957,0.03508167119175151,1.1397824728049184,45.19660509096917,4.176691820108156,3.8278449135018375,0.22407342002018626
M_CE1940,4.176691820108155,0.0,45.196605090969165,3.050596713220597,0.25114401247485774,2.3978074784316865,0.5807331027819606,0.6026126869082973,0.6029497210056283,5.815162187923308,2.233815355010976,3.3754602827674556,1.51409566865703,0.09721287630023907,0.1062325933073065,2.776291417638411,0.13230836491189535,0.07173441316218986,0.030666184863613822,0.1376713517143831,0.24071785092274617,0.06681340945142315,0.5349586977919368,0.5810018070604696,3.598010473326502,0.1478526405001229,1.0900602969746551,0.23078062660367266,2.183818082076357,4.603306707670362,3.5048218921981498,1.8938963709682504,0.042501544331034306,0.08917103837426892,1.6712084180758855,0.6889691603839373,0.5083955573590897,0.17316553402101428,2.56961587483143,0.2777573134008887,0.1919277397981957,3.064770268657567,0.5501407902943316,0.029932423801061276,0.13551327618671685,0.2913368348560295,0.0350816711917515,1.1397824728049182,3.064770268657567,4.176691820108154,3.827844913501836,0.22407342002018624
M_CE1941,3.811884695821672,32.15733177079883,0.0,2.78414673931521,0.22920820776859696,2.1883744433007055,0.5300098067089165,0.5499783443176279,0.5502859426098419,5.789722079408382,2.0387059695102723,3.080635571409792,1.3818491586947887,0.08872196327613521,0.09695386728192504,2.533800247888957,0.1207521006232102,0.0654688925401036,0.027987713890539178,0.12564665512230155,0.2196927127063719,0.0609777103906262,0.48823350595023923,0.5302550448077046,3.283747436064488,0.1349386707588679,0.9948505446801413,0.21062343130373112,1.9930756401378658,4.201237522224282,3.1986982776596937,1.7284767159005052,0.03878932999371841,0.08138253755621226,1.525239121345643,0.6287921478609125,0.46399047295706314,0.15804064673846788,2.345176477550674,0.2534970057089056,0.17516409205238107,2.7970823263581135,0.502089536620518,0.02731804406898893,0.12367706877493712,0.26589044596156614,0.032017535276566075,1.0402298109041328,2.7970823263581135,3.8118846958216714,3.493507318712547,0.2045020550994289
M_CE1944,2.936744397338268,2.936744397338268,2.1549224393806723,0.0,0.4573455760438969,1.6961537176155235,0.5012899215224759,0.5494685346644702,0.6220713622567469,4.460505809469616,2.2512851219078462,2.407100277021789,1.437672927766237,0.07022307176644464,0.0900449320489057,5.765917106876191,0.2536802415214338,0.13091499583356953,0.05596567183113172,0.15553887056442414,0.4690955080755188,0.12193418707609073,0.38643488576476964,0.4196947722163195,2.6028678228252873,0.12532294123549062,0.9244192765060182,0.19561441385690426,1.544782555479342,10.919621282184428,13.171825820502525,1.6468542478490187,0.07756514440340014,0.12263112310969788,1.448261910258685,1.3567374958748244,0.46356037394056765,0.22535702875145142,1.9285273501513016,0.25606863840651345,0.13864168078978198,2.1549224393806723,0.852393336542316,0.054626563350840276,0.09788990420452927,0.5305386885625908,0.06402391016310174,0.9665858761304855,2.1549224393806723,2.9367443973382676,13.957222431431523,0.1618625594625461
M_urea,0.2674802001228943,0.2674802001228943,0.19627145236955088,0.5129095184991804,0.0,0.45409174025919835,1.133302237712648,0.7002760278898696,1.503833316112317,0.40626518234835546,0.6609371273394302,0.3580424109560069,0.5351478919659922,0.16208034220041131,1.4892771643825888,2.4564342430113455,1.8338470358004275,1.1156759568665071,0.4769475477268521,3.895328052834981,3.197937977678459,1.0391403000002537,0.8919217579474418,0.9686881383918002,0.42671041364474954,2.072749197380471,0.49451291600305847,3.235318560075536,0.41356688664681773,0.33246500768232057,0.9108307668266414,0.4224390980764263,0.661021193614842,2.1219034974537374,0.4258464320816528,8.894198094122466,0.5907894521112095,10.176342513640176,0.3600114356872794,2.15355556133178,0.3199957798704619,0.19627145236955088,4.536164031558611,0.4655355119988157,0.22593751602171916,22.676047743077664,0.5456209310622067,0.5170697059451229,0.19627145236955088,0.26748020012289425,0.3345789131208438,0.37359139238861405
M_ametam,2.5018557017715977,2.5018557017715977,1.8358100833575968,1.841236545015576,0.499510366790973,0.0,0.6160027508124838,0.5563642887784078,0.5482285893484777,3.4833062452893513,1.6655986924333799,8.598276858105665,1.231193406334175,1.3207132907347583,1.272594721035237,1.7628716085668135,0.12664492998991336,0.08876996706914705,0.03794884771951351,0.46086567841371373,0.20747598336874895,0.08268032646473328,7.267832902076164,5.920023244794949,2.3223347269118375,1.7711744703797785,1.0145233270980352,2.764595751750639,19.093667784863587,2.759050411777263,2.1294834236998303,2.105059214824323,0.05259486926405904,0.2320755548091134,1.8159288890327565,0.5509733790394992,0.46937798839123457,1.0666109308831422,3.716718373306041,0.43452280394632614,2.6074885162873027,1.8358100833575968,0.4669362276838934,0.03704083658866343,1.841053864109482,0.5794514840822097,0.043412922094032295,1.060799951220437,1.8358100833575968,2.5018557017715977,2.2968146456639684,3.0442130599588264
M_pyr,0.44746274934932123,0.44746274934932123,0.3283389296468634,0.41001041152727974,1.4424180621965368,0.4647596117416995,0.0,2.9596002384119946,2.7184243473430203,0.6796336093290632,2.1529354774816656,0.8666474057775243,3.758269397795835,0.07016048754192183,0.5453635219547783,0.8943856461368949,0.8455822534715842,1.100806246358998,0.47059080355846655,11.393563343306923,0.8056031804379162,1.0252906437411546,0.3860903208160277,0.4193205088039017,2.9137200771979486,0.7590271129967996,5.587064315904478,1.1847524000577732,0.42328269526666673,0.5030345108157946,0.5552988860007689,1.9943889313804246,0.6522111041064982,5.257359773904997,2.6972386540528914,0.9366903578355826,2.496873418470817,3.656764869459768,2.0307787792340384,18.819761792059605,0.13851803604494162,0.3283389296468634,1.5237081933506071,0.45933086795059697,0.0978025987024793,1.6732611870100726,0.5383488947021597,5.192812025369919,0.3283389296468634,0.4474627493493212,0.4335207354102198,0.16171825455677397
M_CE1556,0.6185647499515137,0.6185647499515137,0.45389005213763833,0.5995141806038413,0.7794481143509226,0.5083270063435485,3.9702423079536913,0.0,13.274075497839336,0.9395137189083416,2.9689565795826844,1.1448246212081299,5.123285013102453,0.026225388883221436,0.07995585030745107,1.4711953415232046,0.44463419779870106,0.25197983801811136,0.10772048292410953,0.6412238235961961,0.7965075561560727,0.2346939551104162,0.1443173976820518,0.1567385997097256,3.964974729278776,0.11128114060691874,7.5873635789568805,0.17369680431529402,0.4629619915406646,0.6992674305737219,0.838366364166516,2.726485524220278,0.14929425106307773,0.3792802037607884,3.676653675108113,2.256466754693927,28.45266232826104,0.433259730981445,2.760347301258073,1.7656199861572737,0.051776918598424836,0.45389005213763833,9.130217676092228,0.10514302775950957,0.03655781878219972,0.9041901840515124,0.1232306425705262,7.051959777073834,0.45389005213763833,0.6185647499515136,0.6085082137687359,0.06044894077672598
M_ac,0.5895898959789253,0.5895898959789253,0.4326289006163096,0.6875264017567818,1.8832769118482469,0.4753538789868203,3.248735906406329,12.25185019056437,0.0,0.8955049574911957,2.596584391812453,1.0033322244331904,4.2167360490062835,0.030112389233620588,0.13191309094622564,2.2353511637434083,1.0763198324278527,0.5598988809660952,0.2393547996239532,0.7327578801034761,1.985211403811284,0.5214896749052383,0.16570736388129445,0.17996956967656574,3.2629444595141694,0.18359429530410803,6.114851990768027,0.2865691534486924,0.4329315119457207,0.6802822139058329,1.0500352636048524,2.30001508793171,0.3317316500941337,0.5527746405724792,3.041230087552271,5.732379046511501,15.504451592272098,0.7996941423629698,2.2924153120783197,1.5372093329088472,0.05945103099355919,0.4326289006163096,12.399554471249646,0.2336277007909709,0.04197623817871483,2.184674608302718,0.2738183483606217,5.683356261069066,0.4326289006163096,0.5895898959789252,0.6127034214897525,0.06940837230775342
M_spmd,6.843807937042961,6.843807937042961,10.04368997369616,7.643561667448498,0.4488493139955166,3.05431054042789,1.0006337030572914,1.0404185822449208,1.0459303272368845,0.0,2.912345100750995,4.025304957444929,2.455904271850944,0.1652252983725823,0.18164968819454425,3.760746679615459,0.23748204293862007,0.12828399483488886,0.054840956700034506,0.2393649244522623,0.43260733487704844,0.11948367930993188,0.9092282617188039,0.9874841638532134,3.5517923275663756,0.2528167686364059,1.877263343680233,0.39461734798170894,3.708976419793543,7.129054598861454,5.038641580021784,3.0240808014147436,0.07600633343211839,0.15660203017918284,2.6973703621730687,1.2391926827398636,0.8777514845987227,0.30256193407080184,3.318794858176323,0.47954578892727096,0.32620483466003064,10.043689973696155,0.9737442261203124,0.053528764293693444,0.23032150129196835,0.5206826989392953,0.06273724163638837,1.9628931231385478,10.04368997369616,6.8438079370429605,7.178013723617334,0.38084042285569353
